date,open,high,low,close,volume
2024-02-16,435.0,437.9,430.35,434.15,261050
2024-02-19,437.0,437.9,430.25,433.2,219204
2024-02-20,434.45,448.0,433.2,443.25,1655372
2024-02-21,445.85,452.9,443.25,445.75,931187
2024-02-22,446.0,452.0,437.25,446.8,773992
2024-02-23,448.15,448.95,437.55,438.6,574672
2024-02-26,440.75,445.0,425.45,429.95,610887
2024-02-27,430.5,437.55,424.95,429.05,1410739
2024-02-28,429.7,431.45,417.8,421.5,543645
2024-02-29,417.25,424.0,398.0,408.0,1260951
2024-03-01,399.0,405.2,390.0,399.6,2323290
2024-03-02,398.0,406.35,397.05,402.65,124089
2024-03-04,406.0,406.5,382.75,385.4,4165595
2024-03-05,384.05,388.8,379.35,383.1,4076177
2024-03-06,384.5,387.1,375.05,380.8,1655810
2024-03-07,381.55,402.8,380.8,397.35,4429143
2024-03-11,399.0,416.55,392.2,412.7,2913358
2024-03-12,411.0,414.0,399.3,409.3,2648500
2024-03-13,409.0,409.0,378.0,385.55,2799185
2024-03-14,382.1,403.5,381.05,402.3,1039978
2024-03-15,400.65,407.0,386.45,388.85,1053016
2024-03-18,392.7,402.9,386.5,401.25,888686
2024-03-19,399.5,404.9,395.6,400.05,4444709
2024-03-20,400.0,404.0,395.6,400.1,576497
2024-03-21,401.2,409.9,400.3,401.55,291647
2024-03-22,404.25,405.85,399.25,404.7,248100
2024-03-26,398.7,415.0,391.35,411.05,2113010
2024-03-27,414.95,414.95,408.4,413.2,600633
2024-03-28,415.0,421.95,410.2,420.2,1330031
2024-04-01,426.0,429.9,424.6,428.95,756195
2024-04-02,429.0,429.3,423.6,427.6,206652
2024-04-03,423.3,425.95,421.5,423.65,371118
2024-04-04,428.2,428.2,422.35,425.4,699748
2024-04-05,427.4,442.6,424.55,436.85,1708812
2024-04-08,441.05,443.9,432.0,434.25,2436764
2024-04-09,435.6,443.7,431.5,436.85,1337640
2024-04-10,436.85,439.0,431.6,433.8,200164
2024-04-12,430.35,439.0,426.65,431.45,567935
2024-04-15,432.0,443.05,423.35,435.9,1137216
2024-04-16,432.0,443.4,429.3,441.1,2177615
2024-04-18,444.5,449.9,434.05,436.05,1173327
2024-04-19,436.05,436.05,425.0,430.2,442141
2024-04-22,430.2,445.95,430.15,441.35,2366953
2024-04-23,445.4,457.3,442.05,445.55,1100032
2024-04-24,446.7,456.0,445.1,450.0,744571
2024-04-25,451.8,452.7,438.7,444.85,716149
2024-04-26,442.1,449.45,441.0,443.55,256171
2024-04-29,447.0,448.6,438.0,443.05,1082968
2024-04-30,446.95,446.95,437.0,438.55,355652
2024-05-02,440.9,442.0,435.1,440.3,523690
2024-05-03,444.0,456.25,440.2,451.95,1518217
2024-05-06,455.5,470.5,454.5,461.4,1927228
2024-05-07,461.4,462.9,448.2,453.5,832631
2024-05-08,452.55,467.1,448.0,462.75,2260121
2024-05-09,462.05,465.2,447.1,452.1,1135963
2024-05-10,454.0,454.0,438.3,441.6,707452
2024-05-13,442.0,449.0,434.0,446.3,572434
2024-05-14,447.0,449.8,442.95,444.95,296108
2024-05-15,446.6,448.6,442.45,443.7,157640
2024-05-16,443.7,451.5,438.45,448.85,1185784
2024-05-17,448.85,454.0,446.15,450.55,380178
2024-05-18,451.85,454.0,447.05,452.75,32099
2024-05-21,454.1,468.0,447.1,462.05,1384604
2024-05-22,467.0,479.45,462.5,469.7,4225384
2024-05-23,475.0,476.0,461.1,468.95,1117028
2024-05-24,472.5,479.2,460.0,462.0,2374758
2024-05-27,463.75,464.7,452.0,454.95,1475580
2024-05-28,457.85,465.0,451.2,464.5,1601149
2024-05-29,464.05,465.0,459.65,462.95,956451
2024-05-30,465.0,474.2,454.3,457.2,1923350
2024-05-31,460.0,484.9,451.1,475.1,2379563
2024-06-03,489.0,489.0,457.45,459.35,1476514
2024-06-04,462.0,463.4,406.0,439.35,1061126
2024-06-05,441.7,448.8,421.45,443.25,2323667
2024-06-06,451.4,455.05,444.5,446.3,1305847
2024-06-07,447.4,467.95,447.35,465.8,1576892
2024-06-10,472.0,472.7,454.15,461.0,2075818
2024-06-11,464.0,473.95,461.25,469.35,2665188
2024-06-12,469.35,472.4,465.55,468.1,831917
2024-06-13,468.9,489.0,468.3,483.0,1363028
2024-06-14,484.0,509.6,478.95,502.25,1542124
2024-06-18,502.25,509.85,487.35,493.5,1255345
2024-06-19,492.0,496.15,487.0,489.55,1113280
2024-06-20,491.75,496.45,485.0,487.75,1059397
2024-06-21,489.2,499.95,483.35,488.65,1337547
2024-06-24,488.2,499.8,482.0,485.0,1529511
2024-06-25,485.55,491.0,481.55,484.9,5633642
2024-06-26,485.95,487.75,480.0,481.3,2089571
2024-06-27,483.1,492.25,473.45,478.3,2661888
2024-06-28,479.0,482.0,473.05,475.35,1985061
2024-07-01,479.9,482.45,470.2,471.55,1468186
2024-07-02,475.85,476.1,456.55,459.5,2481749
2024-07-03,460.7,474.8,454.6,470.45,3773074
2024-07-04,473.9,479.95,464.6,470.65,5684718
2024-07-05,470.65,482.55,458.75,461.65,3584918
2024-07-08,464.0,471.7,453.4,455.95,1650173
2024-07-09,462.0,466.85,453.0,455.3,1481727
2024-07-10,456.55,473.95,456.55,470.1,1924549
2024-07-11,468.5,474.9,463.5,470.3,1011485
2024-07-12,470.25,489.4,469.35,480.4,2457854
2024-07-15,486.2,490.8,480.3,486.1,780235
2024-07-16,487.0,492.0,486.15,488.9,1189708
2024-07-18,492.0,493.0,482.0,488.2,2431341
2024-07-19,492.45,493.0,475.65,481.4,1089473
2024-07-22,479.7,494.8,475.0,493.25,1126027
2024-07-23,496.0,500.9,481.05,487.2,1596328
2024-07-24,486.95,493.25,482.15,483.05,615195
2024-07-25,482.4,514.7,482.0,503.4,4413514
2024-07-26,508.45,532.25,507.0,509.8,4118967
2024-07-29,513.35,517.15,495.35,496.6,762874
2024-07-30,500.6,507.35,494.05,502.2,1813385
2024-07-31,504.35,506.95,500.25,501.9,636329
2024-08-01,502.4,507.5,497.0,505.05,2114868
2024-08-02,501.0,511.0,497.25,505.7,2056545
2024-08-05,495.7,517.95,493.0,501.85,3398458
2024-08-06,505.05,514.95,493.8,496.9,2392736
2024-08-07,516.0,516.55,484.0,486.25,3803159
2024-08-08,490.35,490.5,480.55,489.15,843964
2024-08-09,490.8,492.35,485.0,489.75,767782
2024-08-12,488.9,503.4,486.0,499.45,1227290
2024-08-13,500.0,534.8,500.0,517.1,5074475
2024-08-14,518.0,529.0,517.4,522.15,1355740
2024-08-16,524.0,539.55,524.0,532.8,1880922
2024-08-19,537.5,542.5,519.25,523.2,2034984
2024-08-20,526.45,535.95,520.0,528.8,1012799
2024-08-21,528.3,534.95,524.0,526.4,891306
2024-08-22,528.8,533.4,523.35,531.0,960379
2024-08-23,532.0,562.75,527.1,551.2,4503684
2024-08-26,553.15,562.95,539.05,543.3,2158912
2024-08-27,542.6,552.7,537.7,539.7,794329
2024-08-28,544.4,558.0,536.5,546.3,1892589
2024-08-29,548.65,550.1,534.4,538.8,686905
2024-08-30,542.5,563.0,537.2,551.8,4032385
