Date,Open,High,Low,Close,Volume
2022-01-21,1868.25,1901.0,1849.55,1893.75,1753896
2022-01-24,1884.1,1887.9,1810.0,1830.9,2547434
2022-01-25,1814.7,1873.9,1782.2,1854.65,2569065
2022-01-27,1840.0,1898.55,1821.15,1889.25,3718619
2022-01-28,1895.0,1956.9,1888.65,1898.3,4971964
2022-01-31,1920.0,1938.9,1841.0,1857.25,4516625
2022-02-01,1882.0,1905.0,1834.1,1882.3,3097086
2022-02-02,1910.8,1948.0,1896.9,1942.6,2710508
2022-02-03,1939.9,1942.45,1896.05,1909.05,2239713
2022-02-04,1914.0,1918.0,1880.25,1884.2,1771267
2022-02-07,1850.0,1890.0,1820.0,1828.45,2053959
2022-02-08,1835.0,1848.05,1793.1,1817.8,3569370
2022-02-09,1835.6,1847.8,1822.65,1835.0,1624058
2022-02-10,1835.0,1888.9,1830.25,1867.2,2508081
2022-02-11,1854.1,1854.1,1822.0,1828.25,1859755
2022-02-14,1790.05,1823.85,1737.95,1746.85,3026821
2022-02-15,1756.0,1819.0,1746.05,1813.1,2055275
2022-02-16,1815.1,1852.85,1800.0,1830.05,2269756
2022-02-17,1835.0,1844.25,1810.4,1817.3,2810229
2022-02-18,1809.05,1831.0,1805.85,1826.55,1229668
2022-02-21,1808.0,1851.3,1802.1,1827.1,1343911
2022-02-22,1790.0,1849.1,1790.0,1841.75,3022075
2022-02-23,1852.9,1912.85,1852.9,1886.1,6915921
2022-02-24,1834.35,1874.4,1776.75,1794.85,4956043
2022-02-25,1820.95,1866.25,1801.05,1856.7,3993886
2022-02-28,1837.0,1852.0,1814.7,1842.75,2712562
2022-03-02,1811.8,1819.35,1775.3,1806.0,2830955
2022-03-03,1812.95,1819.6,1772.6,1792.25,2962143
2022-03-04,1770.0,1785.95,1733.7,1752.15,2549194
2022-03-07,1693.5,1730.9,1680.05,1711.9,2697935
2022-03-08,1700.0,1729.5,1672.55,1723.1,5436496
2022-03-09,1723.1,1748.15,1692.0,1739.1,6919461
2022-03-10,1800.0,1813.0,1736.0,1754.35,4188469
2022-03-11,1745.0,1779.9,1736.0,1763.0,2506340
2022-03-14,1745.45,1797.35,1742.0,1788.75,3316649
2022-03-15,1784.0,1789.95,1714.0,1733.75,4807455
2022-03-16,1760.0,1774.8,1752.75,1760.5,2927241
2022-03-17,1790.0,1827.6,1782.55,1820.0,3359007
2022-03-21,1815.65,1830.0,1773.0,1777.1,2397699
2022-03-22,1777.1,1813.6,1755.35,1807.85,3397456
2022-03-23,1815.0,1827.25,1758.0,1769.75,3226340
2022-03-24,1715.0,1728.9,1701.0,1714.15,19710178
2022-03-25,1728.0,1731.8,1712.0,1722.25,3039150
2022-03-28,1728.0,1728.0,1692.05,1725.2,3070204
2022-03-29,1738.0,1740.9,1718.75,1730.0,2585790
2022-03-30,1749.4,1768.85,1736.0,1763.1,3358154
2022-03-31,1755.1,1778.75,1747.0,1753.85,2848408
2022-04-01,1749.3,1780.0,1745.6,1776.65,2373773
2022-04-04,1787.0,1840.0,1735.0,1836.05,3997566
2022-04-05,1836.05,1838.05,1794.2,1802.2,2132871
2022-04-06,1787.5,1793.0,1771.75,1779.4,2349001
2022-04-07,1771.0,1792.0,1763.0,1766.45,4388783
2022-04-08,1775.25,1790.0,1756.1,1784.5,2381671
2022-04-11,1775.0,1806.15,1763.3,1783.45,1917942
2022-04-12,1771.05,1812.65,1770.0,1801.85,2412242
2022-04-13,1807.7,1818.5,1772.75,1779.6,1923692
2022-04-18,1775.6,1775.6,1730.0,1750.4,1960141
2022-04-19,1763.0,1766.7,1687.0,1707.5,2389574
2022-04-20,1713.0,1727.0,1683.4,1721.3,3201545
2022-04-21,1725.0,1773.45,1724.05,1760.85,2730691
2022-04-22,1740.0,1748.9,1721.4,1727.75,2256038
2022-04-25,1702.5,1737.9,1694.0,1728.85,2149394
2022-04-26,1746.1,1748.0,1731.25,1742.7,1454777
2022-04-27,1724.0,1752.0,1724.0,1741.5,2822592
2022-04-28,1749.0,1773.0,1732.4,1765.65,2342497
2022-04-29,1768.95,1810.3,1767.0,1790.75,3688659
2022-05-02,1765.55,1780.45,1750.05,1774.35,1979466
2022-05-04,1768.0,1823.7,1768.0,1775.6,5746474
2022-05-05,1801.0,1821.0,1784.3,1797.6,3568047
2022-05-06,1755.15,1794.95,1750.0,1775.3,2847483
2022-05-09,1745.0,1784.0,1743.0,1767.5,2169362
2022-05-10,1770.0,1808.8,1767.5,1797.15,1989854
2022-05-11,1798.0,1818.0,1796.0,1809.95,2621884
2022-05-12,1802.8,1806.6,1757.0,1760.9,4282268
2022-05-13,1785.0,1795.0,1756.0,1779.55,2737022
2022-05-16,1781.0,1825.0,1766.15,1812.85,3039181
2022-05-17,1823.0,1844.9,1817.6,1840.3,3020781
2022-05-18,1846.95,1864.0,1840.85,1846.8,5321784
2022-05-19,1812.0,1827.3,1778.35,1783.4,3108321
2022-05-20,1811.0,1839.9,1794.45,1829.15,2649672
2022-05-23,1852.0,1871.5,1841.25,1854.3,2826078
2022-05-24,1857.95,1890.0,1842.8,1882.6,3421900
2022-05-25,1897.85,1941.5,1886.3,1907.55,6252602
2022-05-26,1914.95,1922.0,1884.05,1908.65,4949829
2022-05-27,1921.0,1950.0,1913.0,1946.2,2440367
2022-05-30,1945.25,1951.75,1895.55,1903.2,3987800
2022-05-31,1891.1,1896.15,1828.35,1846.85,14830306
2022-06-01,1840.0,1874.0,1835.35,1865.1,2382645
2022-06-02,1848.2,1879.0,1846.0,1857.65,2664301
2022-06-03,1879.0,1879.0,1853.1,1858.65,1815375
2022-06-06,1845.0,1877.0,1843.15,1869.3,2588097
2022-06-07,1864.0,1865.0,1832.0,1858.15,1711639
2022-06-08,1860.0,1880.1,1838.75,1845.5,1465616
2022-06-09,1838.75,1872.85,1827.7,1865.2,1280868
2022-06-10,1840.0,1854.2,1784.05,1791.8,2859950
2022-06-13,1743.0,1752.6,1718.65,1737.35,2349445
2022-06-14,1735.6,1748.65,1721.6,1739.7,1551047
2022-06-15,1738.0,1750.0,1728.9,1736.65,1770169
2022-06-16,1742.0,1753.55,1670.0,1675.8,2973292
2022-06-17,1661.0,1683.7,1648.6,1673.6,3163864
2022-06-20,1673.6,1689.85,1652.0,1679.2,1767577
2022-06-21,1690.0,1709.0,1672.55,1681.5,2503603
2022-06-22,1665.0,1675.85,1653.0,1669.7,1771925
2022-06-23,1675.0,1695.0,1648.8,1684.1,2490801
2022-06-24,1700.0,1714.9,1690.15,1698.4,1617721
2022-06-27,1717.2,1719.9,1685.0,1691.55,2128112
2022-06-28,1684.9,1692.35,1664.7,1668.8,2799443
2022-06-29,1650.0,1658.95,1636.7,1642.45,2932830
2022-06-30,1632.0,1676.9,1631.0,1661.1,3982064
2022-07-01,1645.0,1679.5,1636.0,1667.75,2300514
2022-07-04,1666.55,1684.45,1660.05,1670.9,1868781
2022-07-05,1675.0,1694.8,1656.95,1663.05,2642097
2022-07-06,1682.0,1712.4,1671.0,1704.5,5572949
2022-07-07,1718.0,1744.0,1716.05,1738.5,3170065
2022-07-08,1755.0,1756.45,1732.2,1744.75,1778149
2022-07-11,1743.0,1747.0,1728.2,1741.25,1533179
2022-07-12,1721.5,1739.0,1711.95,1718.95,1828832
2022-07-13,1724.0,1745.95,1723.4,1742.05,3613468
2022-07-14,1740.0,1777.0,1737.05,1770.05,6570982
2022-07-15,1772.3,1790.0,1770.0,1787.7,2333732
2022-07-18,1800.0,1850.0,1794.25,1845.65,3117038
2022-07-19,1835.0,1852.0,1828.05,1834.95,2895175
2022-07-20,1846.25,1850.0,1818.1,1827.75,2571469
2022-07-21,1825.0,1825.0,1787.8,1800.55,2186674
2022-07-22,1801.0,1842.0,1789.7,1827.1,3349580
2022-07-25,1816.0,1848.8,1785.1,1795.55,1886515
2022-07-26,1791.0,1794.95,1752.0,1761.6,1802447
2022-07-27,1761.15,1761.15,1732.35,1754.1,3479645
2022-07-28,1774.8,1831.85,1765.0,1828.5,2154401
2022-07-29,1837.65,1856.9,1803.65,1810.35,2387998
2022-08-01,1815.0,1862.0,1812.0,1855.75,1655537
2022-08-02,1851.7,1893.0,1834.2,1884.6,3357606
2022-08-03,1875.0,1879.8,1840.0,1851.1,2535679
2022-08-04,1856.6,1859.0,1814.25,1835.55,2361186
2022-08-05,1844.75,1850.0,1822.65,1833.9,1664571
2022-08-08,1830.0,1849.5,1816.8,1844.5,1555925
2022-08-10,1848.0,1849.25,1821.05,1828.35,1657327
2022-08-11,1849.0,1856.65,1833.0,1853.5,2778338
2022-08-12,1860.0,1860.0,1836.5,1841.2,1396522
2022-08-16,1850.45,1861.8,1838.55,1846.35,1313624
2022-08-17,1854.0,1854.0,1831.15,1839.7,3383334
2022-08-18,1839.0,1912.0,1832.0,1904.5,3661316
2022-08-19,1919.0,1942.45,1871.0,1877.0,4563906
2022-08-22,1826.95,1838.0,1811.3,1832.05,4162757
2022-08-23,1824.0,1869.0,1820.0,1855.75,2214300
2022-08-24,1851.0,1873.95,1841.4,1867.6,1415625
2022-08-25,1875.1,1905.45,1856.15,1868.75,2204409
2022-08-26,1872.35,1927.0,1868.9,1902.05,3343088
2022-08-29,1858.0,1877.95,1845.0,1850.0,3639673
2022-08-30,1864.85,1920.0,1857.0,1915.45,3885850
2022-09-01,1875.0,1925.5,1875.0,1902.85,4207842
2022-09-02,1916.95,1929.0,1904.4,1918.85,3331376
2022-09-05,1911.0,1957.0,1911.0,1937.9,3806770
2022-09-06,1944.95,1949.95,1910.0,1915.7,2767854
2022-09-07,1900.0,1915.1,1885.7,1908.25,1976258
2022-09-08,1920.1,1938.0,1912.0,1930.05,2412183
2022-09-09,1950.0,1950.7,1916.5,1926.35,2817973
2022-09-12,1925.0,1944.0,1917.75,1924.0,1483681
2022-09-13,1933.0,1940.0,1920.15,1923.4,1584581
2022-09-14,1892.0,1977.8,1892.0,1954.7,3742429
2022-09-15,1967.5,1987.2,1923.0,1934.15,3747498
2022-09-16,1926.25,1980.0,1910.1,1930.3,5168822
2022-09-19,1923.1,1940.0,1907.55,1929.5,1675912
2022-09-20,1944.0,1961.7,1933.0,1939.75,1612730
2022-09-21,1927.0,1950.0,1898.4,1918.5,2238276
2022-09-22,1905.55,1924.6,1881.2,1892.75,1857227
2022-09-23,1870.1,1888.7,1841.9,1862.7,2613759
2022-09-26,1836.0,1858.0,1816.65,1829.0,2285176
2022-09-27,1832.2,1834.85,1792.05,1799.3,2740144
2022-09-28,1790.0,1808.0,1775.1,1792.6,1771117
2022-09-29,1802.0,1810.0,1759.75,1765.3,2799627
2022-09-30,1768.0,1826.45,1757.7,1819.2,2804653
2022-10-03,1808.0,1813.0,1773.3,1783.9,2440064
2022-10-04,1808.0,1827.8,1802.0,1822.25,1668922
2022-10-06,1825.0,1840.0,1811.85,1818.9,1748151
2022-10-07,1810.5,1830.0,1802.2,1825.4,1063844
2022-10-10,1801.1,1821.75,1794.55,1808.25,1037722
2022-10-11,1809.85,1809.85,1783.3,1787.9,1496718
2022-10-12,1788.0,1813.0,1780.2,1810.2,1035118
2022-10-13,1805.0,1815.9,1793.0,1801.5,1172979
2022-10-14,1828.0,1858.0,1822.5,1834.0,1670238
2022-10-17,1828.05,1862.2,1820.25,1858.15,1104283
2022-10-18,1867.45,1875.9,1855.1,1859.7,1609858
2022-10-19,1869.0,1877.45,1855.0,1869.35,913286
2022-10-20,1860.0,1882.95,1855.35,1863.55,1591107
2022-10-21,1870.0,1925.0,1866.3,1902.65,3941971
2022-10-24,1902.5,1915.0,1890.0,1895.8,649081
2022-10-25,1911.0,1911.6,1842.0,1846.6,3511650
2022-10-27,1883.7,1888.0,1849.45,1865.0,4593492
2022-10-28,1874.0,1894.85,1871.05,1884.25,3048687
2022-10-31,1899.0,1912.0,1889.0,1901.95,1874348
2022-11-01,1908.0,1941.5,1903.4,1909.2,2545417
2022-11-02,1918.75,1920.0,1897.5,1909.95,1864081
2022-11-03,1904.8,1913.0,1893.6,1900.15,1591871
2022-11-04,1906.0,1908.0,1894.3,1899.95,2081413
2022-11-07,1908.0,1910.0,1871.65,1882.6,2624601
2022-11-09,1898.0,1903.6,1880.7,1893.4,2322634
2022-11-10,1895.0,1915.0,1891.7,1912.15,2510124
2022-11-11,1933.0,1933.9,1890.9,1899.1,3424030
2022-11-14,1902.85,1928.7,1901.0,1922.8,2142267
2022-11-15,1925.0,1933.3,1895.3,1912.4,1990292
2022-11-16,1914.0,1968.65,1913.95,1965.9,6437651
2022-11-17,1963.8,1965.0,1943.25,1950.55,2408671
2022-11-18,1960.95,1997.55,1947.9,1959.55,4272040
2022-11-21,1954.55,1954.55,1932.8,1944.1,1192610
2022-11-22,1953.85,1953.85,1930.1,1939.75,1166755
2022-11-23,1950.5,1961.5,1945.65,1953.35,2500563
2022-11-24,1954.5,1956.3,1933.05,1944.85,1400421
2022-11-25,1949.0,1949.0,1920.0,1928.4,2097541
2022-11-28,1916.0,1942.95,1916.0,1928.15,1564504
2022-11-29,1931.6,1939.0,1923.25,1925.55,1363505
2022-11-30,1939.0,1955.0,1916.0,1947.05,2950734
