Date,Open,High,Low,Close,Volume
2024-02-02,577.0,589.0,573.1,583.5,7145858
2024-02-05,583.5,590.9,576.05,579.9,4801118
2024-02-06,578.6,587.75,569.25,584.9,4099573
2024-02-07,590.4,602.15,584.65,592.25,9415146
2024-02-08,592.0,608.95,587.85,601.3,11844758
2024-02-09,601.0,602.0,576.3,591.3,5105348
2024-02-12,591.9,601.8,579.75,582.45,4595403
2024-02-13,539.0,540.0,496.35,510.1,46100123
2024-02-14,515.0,516.9,503.15,507.8,16634538
2024-02-15,512.7,518.5,507.6,513.2,13303658
2024-02-16,519.95,519.95,510.95,515.7,12066565
2024-02-19,518.75,518.9,511.8,512.3,5580597
2024-02-20,512.6,515.9,507.15,511.6,5186970
2024-02-21,535.0,538.0,510.0,511.8,18106978
2024-02-22,516.3,522.15,514.25,521.15,8727844
2024-02-23,524.7,524.8,517.0,518.35,6445580
2024-02-26,519.4,519.75,504.0,505.05,7605543
2024-02-27,505.5,512.2,504.7,509.65,6741206
2024-02-28,512.5,514.45,501.75,504.4,4406098
2024-02-29,506.5,508.0,499.0,503.85,16860796
2024-03-01,510.0,522.5,510.0,519.1,9882296
2024-03-02,523.0,524.0,518.0,522.85,623929
2024-03-04,524.0,529.85,520.05,524.95,5989974
2024-03-05,524.0,528.3,520.2,522.1,5729926
2024-03-06,522.05,527.9,513.95,526.95,4637732
2024-03-07,530.8,540.85,529.25,536.7,7909060
2024-03-11,540.0,543.25,532.1,533.7,5527908
2024-03-12,533.1,536.85,525.3,528.95,3703670
2024-03-13,529.35,530.0,501.2,507.0,5712435
2024-03-14,512.0,526.35,507.0,525.25,10349338
2024-03-15,522.0,534.05,517.5,532.55,8467660
2024-03-18,532.0,535.55,527.0,531.15,4282437
2024-03-19,532.0,539.75,529.25,533.65,7119131
2024-03-20,533.0,535.5,516.35,527.85,5005234
2024-03-21,538.4,545.75,534.25,539.7,8795679
2024-03-22,539.7,550.65,537.35,547.75,5518261
2024-03-26,545.65,561.0,545.0,558.65,7198061
2024-03-27,564.2,564.65,556.8,557.65,5320703
2024-03-28,561.0,566.65,555.3,560.25,8326754
2024-04-01,570.0,574.0,564.1,568.6,6192790
2024-04-02,571.0,572.3,561.55,571.2,4626877
2024-04-03,570.2,584.1,567.15,576.6,7514291
2024-04-04,590.0,590.0,568.95,577.75,7246259
2024-04-05,572.5,575.0,567.6,570.05,4884617
2024-04-08,572.0,579.7,570.5,576.8,3276169
2024-04-09,578.1,595.45,574.0,588.6,7829711
2024-04-10,596.2,604.9,591.05,603.05,11748104
2024-04-12,609.05,609.05,595.3,598.65,15994496
2024-04-15,615.0,625.4,605.7,612.7,27067692
2024-04-16,612.7,621.4,606.8,608.85,10722248
2024-04-18,616.4,625.0,609.8,612.8,9953539
2024-04-19,609.0,616.3,600.7,614.75,6443897
2024-04-22,620.65,622.45,612.7,618.55,6503652
2024-04-23,618.5,618.75,610.4,611.8,6154126
2024-04-24,611.8,637.65,608.7,636.1,11775700
2024-04-25,635.7,648.25,628.1,646.8,11897458
2024-04-26,650.95,661.6,643.0,649.3,7545608
2024-04-29,654.95,655.4,641.2,650.05,4157501
2024-04-30,653.6,653.7,642.3,644.4,4771959
2024-05-02,635.9,646.9,628.65,641.45,17929526
2024-05-03,655.05,655.05,638.4,647.1,10633995
2024-05-06,650.0,655.0,629.3,638.8,10094421
2024-05-07,646.9,646.9,611.75,620.2,10787196
2024-05-08,615.1,634.45,615.1,633.5,7683352
2024-05-09,634.0,637.75,615.0,619.4,6588118
2024-05-10,620.1,629.55,618.0,625.6,4364788
2024-05-13,625.1,636.15,614.3,633.5,3582386
2024-05-14,644.35,649.5,638.2,646.65,8339846
2024-05-15,653.0,659.0,648.7,653.7,6764257
2024-05-16,660.0,666.0,643.25,653.35,8781056
2024-05-17,653.0,658.8,650.4,655.45,5026205
2024-05-18,662.0,662.9,657.5,660.35,467849
2024-05-21,666.3,695.4,663.2,693.6,15976672
2024-05-22,698.55,698.7,677.4,684.55,8004434
2024-05-23,675.15,678.55,665.95,676.8,9749101
2024-05-24,679.25,690.45,671.05,673.25,15930052
2024-05-27,685.05,689.5,675.5,677.85,10475785
2024-05-28,682.0,698.0,678.35,681.3,12925385
2024-05-29,695.0,713.5,682.3,705.3,22684652
2024-05-30,704.85,713.05,693.35,695.15,10361716
2024-05-31,698.9,703.45,684.35,689.35,13620282
2024-06-03,715.0,715.25,692.8,695.95,7081956
2024-06-04,697.0,697.0,594.25,649.05,24250212
2024-06-05,627.0,700.65,607.0,695.25,25836374
2024-06-06,695.0,695.0,673.0,677.5,10420244
2024-06-07,677.5,687.0,672.45,680.35,7172942
2024-06-10,677.05,684.85,673.05,676.4,4054802
2024-06-11,680.0,681.25,672.05,672.95,5157918
2024-06-12,674.0,683.0,671.85,673.9,10783822
2024-06-13,678.0,684.65,676.05,680.7,9555904
2024-06-14,690.0,690.0,677.4,683.6,8326865
2024-06-18,683.6,688.0,677.0,678.75,4013739
2024-06-19,680.05,682.0,660.4,662.4,4770356
2024-06-20,665.0,684.35,661.75,676.5,6646966
2024-06-21,680.0,691.2,677.0,684.5,11973903
2024-06-24,679.6,687.7,675.1,685.25,8014595
2024-06-25,688.8,696.0,680.9,685.5,5778636
2024-06-26,683.55,683.55,671.35,674.7,6069407
2024-06-27,678.0,687.7,672.1,685.25,7135387
2024-06-28,690.25,697.5,686.0,693.55,6101211
2024-07-01,699.0,701.85,688.4,689.85,4870114
2024-07-02,689.9,703.3,688.4,694.75,5482768
2024-07-03,698.9,703.0,683.4,691.65,5875690
2024-07-04,697.7,705.75,690.55,691.85,5924057
2024-07-05,694.0,702.5,693.5,699.15,5174673
2024-07-08,703.65,705.9,691.65,697.2,2636146
2024-07-09,702.0,710.65,695.55,707.0,5507357
2024-07-10,708.0,712.1,685.3,693.3,5327276
2024-07-11,702.0,702.0,692.0,696.3,6856272
2024-07-12,697.5,702.45,686.1,692.05,3839953
2024-07-15,692.05,701.6,688.45,700.1,2848268
2024-07-16,700.3,703.15,689.0,690.8,4570179
2024-07-18,686.0,695.85,684.1,689.95,7841505
2024-07-19,683.9,685.7,658.65,663.0,6207375
2024-07-22,655.0,675.0,650.85,672.3,3291634
2024-07-23,672.3,673.2,638.7,653.5,9602846
2024-07-24,653.0,656.65,645.0,651.6,2610134
2024-07-25,641.95,649.0,633.3,646.55,6171776
2024-07-26,660.0,668.5,655.0,667.6,4730539
2024-07-29,676.75,676.75,665.0,666.85,6032470
2024-07-30,665.0,665.0,654.6,660.5,6714850
2024-07-31,667.0,674.0,664.25,669.6,8551592
2024-08-01,680.0,690.9,667.35,673.5,8831127
2024-08-02,659.8,665.6,646.55,648.05,6717210
2024-08-05,628.05,633.85,609.25,614.3,13451475
2024-08-06,625.0,629.0,608.0,610.3,7063441
2024-08-07,625.0,629.45,616.75,623.7,4839670
2024-08-08,625.0,631.0,613.0,614.05,5396272
2024-08-09,622.0,626.5,614.8,622.9,3629264
2024-08-12,619.0,634.4,616.5,629.35,3586449
2024-08-13,634.4,634.4,619.2,621.4,6793767
2024-08-14,626.85,633.95,611.6,621.45,8646288
2024-08-16,633.95,642.0,630.2,634.15,6566337
2024-08-19,636.5,660.3,636.5,658.85,9510274
2024-08-20,663.0,674.3,661.05,672.9,10295836
2024-08-21,668.9,696.6,667.8,685.6,7815238
2024-08-22,691.5,692.0,677.2,685.55,6188728
2024-08-23,690.05,694.7,677.8,685.1,7774920
2024-08-26,694.4,712.9,689.5,711.85,11517668
2024-08-27,711.9,712.95,702.75,703.5,6465241
2024-08-28,706.0,710.7,701.15,705.05,3599946
2024-08-29,697.65,702.35,691.4,700.5,5728640
2024-08-30,699.0,708.5,695.1,701.35,7404373
